name,years,country,sector,position
Davidson Dunton,,Canada,,
Ludwig Erhard,,West Germany,,
Manuel R. Espirito Santo Silva,,Portugal,,
Marcel Faribault,,Canada,,
Max Frankel,,United States,,
Jacques Georges-Picot,,France,,
Roswell Gilpatric,,United States,,
Fred R. Harris,,United States,,
Chet Holifield,,United States,,
Thomas V. Jones,,United States,,
Cyril Kleinwort,,United Kingdom,,
Harald Knudtzon,,Denmark,,
Jens Otto Krag,,Denmark,,
Halvard Lange,,Norway,,
Franco Maria Malfatti,,Italy,,
Edward S. Mason,,United States,,
James McCormack,,United States,,
Hans Merkle,,West Germany,,
F. Bradford Morse,,United States,,
Con O'Neill,,United Kingdom,,
Rudolph A. Peterson,,United States,,
Walter Reuther,,United States,,
Eric Roll,,United Kingdom,,
Helmut Schmidt,,West Germany,,
Urs Schwarz,,Switzerland,,
Jean-Charles Snoy et d'Oppuers,,Belgium,,
Charles Spofford,,United States,,
Gerhard Stoltenberg,,West Germany,,
Gunnar Thoroddsen,,Iceland,,
Jan Tinbergen,,Netherlands,,
John W. Tuthill,,United States,,
Charles Wheeler,,United Kingdom,,
Robert Winters,,Canada,,
George David Woods,,United States,,
Eric Wyndham White,,United Kingdom,,
Jelle Zijlstra,,Netherlands,,
Michael von Waldthausen,,West Germany,,
David Barran,,United Kingdom,,
Kurt Becker,,West Germany,,
Fritz Beebe,,United States,,
Jean Casanova,,France,,
Harold van B. Cleveland,,United States,,
Harlan Cleveland,,United States,,
Guido Colonna di Paliano,,Italy,,
Piet Dankert,,Netherlands,,
John Diebold,,United States,,
James Eayrs,,Canada,,
Mario Ferrari Aggradi,,Italy,,
Arnold Alexander Hall,,United Kingdom,,
Henri Hartung,,France,,
Edward Heath,,United Kingdom,,
Stanley Hoffmann,,United States,,
Quintin Hogg,,United Kingdom,,
Yngve Holmberg,,Sweden,,
Donald Hornig,,United States,,
Henry M. Jackson,,United States,,
Carl Kaysen,,United States,,
Frank Kearton,,United Kingdom,,
Antonie Knoppers,,United States,,
Max Kohnstamm,,Netherlands,,
Joseph Kraf,,United States,,
Jaap Kymmell,,Netherlands,,
Théo Lefèvre,,Belgium,,
Jules Léger,,Canada,,
Charles McC. Mathias Jr.,,United States,,
Niels Matthiasen,,Denmark,,
John T. McNaughton,,United States,,
Bill Moyers,,United States,,
Preben Munthe,,Norway,,
Prince Claus of the Netherlands,,Netherlands,,
John Newhouse,,United States,,
Stavros Niarchos,,Greece,,
Alberto Franco Nogueire,,Portugal,,
Lauris Norstad,,United States,,
Aurelio Peccei,,Italy,,
James Alfred Perkins,,United States,,
John Pesmazoglou,,Greece,,
Piet Gerards,,United States,,
Emanuel R. Piore,,United States,,
Eugene V. Rostow.,,United States,,
Ambroise Roux,,France,,
Hartley Shawcross,,United Kingdom,,
Henri Simonet,,Belgium,,
Svend Sorensen,,Denmark,,
Otto Grieg Tidemand,,Norway,,
Ludovic Tron,,France,,
Berend J. Udink,,Netherlands,,
Paolo Battino Vittorelli,,Italy,,
Hermann Withalm,,Austria,,
Richard Munby,,United Kingdom,,
Carel J. van Schelle,,Netherlands,,
Jean Victor Allard,,Canada,,
Egon Bahr,,West Germany,,
Leonard Beaton,,Canada,,
Michel Bélanger,,Canada,,
Barend Biesheuvel,,Netherlands,,
Alan R. Booth,,International,,
Maurice Bridgeman,,United States,,
Alastair Francis Buchan,,United Kingdom,,
Paul Chambers,,United Kingdom,,
Frederick Deming,,United States,,
C. Douglas Dillon,,United States,,
William S. Dodge,,Canada,,
Henry Ford II,,United States,,
Jacques de Fouchier,,France,,
Thomas S. Gates Jr.,,United States,,
Henry Hauge,,United States,,
John Wendell Holmes,,Canada,,
Christian F. Karsten,,Netherlands,,
Ward Keener,,United States,,
Pieter Kuin,,Netherlands,,
Allen Lambert,,Canada,,
Paul Lendvai,,Austria,,
Richard Löwenthal,,West Germany,,
Björn Lundvall,,Sweden,,
Charles McC. Mathias,,United States,,
William McLean Hamilton,,Canada,,
Robert McNamara,,United States,,
Pierre Mendès France,,France,,
Karl Mommer,,West Germany,,
Alberto F. Nogueira,,Portugal,,
Roberto Olivetti,,Italy,,
Duncan Oppenheim,,United Kingdom,,
Jacques Parizeau,,Canada,,
Lester B. Pearson,,Canada,,
Enoch Powell,,United Kingdom,,
Louis Rasminsky,,Canada,,
Ron Ritchie,,Canada,,
Alberto Ronchey,,Italy,,
Edmond Adolphe de Rothschild,,France,,
Claude Ryan,,Canada,,
John T. Ryan,,United States,,
Herman Sandberg,,Netherlands,,
Andrew Shonfield,,United Kingdom,,
Jacques Solvay,,elgium,,
Svend O. Sorensen,,Denmark,,
Dieter Spethmann,,West Germany,,
Altiero Spinelli,,Italy,,
Ugo Stille,,Italy,,
Albert Thornbrough,,Canada,,
Pierre Trudeau,,Canada,,
İlter Türkmen,,Turkey,,
Victor Umbricht,,Switzerland,,
Vernon Raymond,,United States,,
Willem Visser 't Hooft,,Netherlands,,
Bernard Thillaye,,Canada,,
Michel Albert,,France,,
Rüdiger Altmann,,West Germany,,
Daniel Bell,,United States,,
Godfried van Benthem van den Bergh,,Netherlands,,
Walter Berchtold,,Switzerland,,
Claude Bissell,,Canada,,
Edward Brooke,,United States,,
Antonio Cariglia,,Italy,,
Fabio Luca Cavazza,,Italy,,
Karl Czernetz,,Austria,,
Ralf Dahrendorf,,West Germany,,
Prince Henrik of Denmark,,Denmark,,
François Duchêne,,United Kingdom,,
Kjell-Olof Feldt,,Sweden,,
François Fontaine,,France,,
Johannes Green,,Denmark,,
Denis Hamilton,,United Kingdom,,
Edward K. Hamilton,,United States,,
Poul Hartling,,Denmark,,
Jerome Heldring,,Netherlands,,
Daniel Janssen,,Belgium,,
Vernon E. Jordan Jr.,,United States,,
Jens Kampmann,,Denmark,,
Kenneth Keniston,,United States,,
Hans H. Koch,,Denmark,,
Peter F. Krogh,,United States,,
