name,years,country,sector,position
Richard Holbrooke,"2008,[2]2009,[3]2010[4]",Vereinigte StaatenVereinigte Staaten,Politik,Diplomat; Sonderbeauftragter der US-Regierung fürPakistanundAfghanistanseit 2009
Colin Powell,1997[75],Vereinigte StaatenVereinigte Staaten,Politik,Außenminister der Vereinigten Staaten von 2001 bis 2005
Paul Volcker,"2009,[3]2010[4]",Vereinigte StaatenVereinigte Staaten,Politik,Vorsitzender (Chairman) desFederal Reserve Systemder USA von 1979 bis August 1987; Vorsitzender des neu gegründeten „Economic Recovery Advisory Board“ vonBarack Obamaseit 2009
James Wolfensohn,"2008,[2]2009,[3]2010,[4]2013,[5]2014[33]",Vereinigte StaatenVereinigte Staaten,Politik,Präsident derWeltbankvon 1995 bis 2005
Paul Wolfowitz,"2005,[23]2008,[2]2009[3]",Vereinigte StaatenVereinigte Staaten,Politik,Präsident derWeltbankvon 2005 bis 2007
Robert Zoellick,"2008[2]2009,[3]2010,[4]2012,[13]2013,[5]2014,[33]2015[20]",Vereinigte StaatenVereinigte Staaten,Politik,Präsident derWeltbankvon 2007 bis 2012
Bill Gates,2010[4],Vereinigte StaatenVereinigte Staaten,Wirtschaft,gründete 1975 gemeinsam mitPaul AllendieMicrosoft Corporation; einer der zehnreichsten Menschen weltweit
Eric Schmidt,"2008,[2]2010,[4]2013,[5]2014,[33]2015[20]",Vereinigte StaatenVereinigte Staaten,Wirtschaft,Chief Executive Officerder FirmaGooglevon 2001 bis 2011; Beraterteam des US-PräsidentenBarack Obamain Technologiefragen seit 2009
David Rockefeller,"1980, 2007,[36]2008,[2]2009[3]",Vereinigte StaatenVereinigte Staaten,Wirtschaft,Bankier und Staatsmann; Enkelsohn des ÖlmagnatenJohn D. Rockefeller; Präsident desCouncil on Foreign Relationsab 1975
Timothy Geithner,"2008,[2]2013[5]",Vereinigte StaatenVereinigte Staaten,Politik/Wirtschaft,"Finanzminister der Vereinigten Staaten von 2009 bis 2013, ehemaliger Präsident derFederal Reserve Bank of New York"
Condoleezza Rice,2008[2],Vereinigte StaatenVereinigte Staaten,Politik,Außenministerin der Vereinigten Staaten von 2005 bis 2009
David Petraeus,2013[56],Vereinigte StaatenVereinigte Staaten,Politik,General a. D.; Direktor derCIAvon 2011 bis 2012
Robert Andre,,France,Unknown,President of theSyndicat de Petrole
Ralph Assheton,,United Kingdom,Unknown,Member of Parliament; Former Parliamentary Secretary to Ministry of Supply; Former Financial Secretary to the Treasury
G. De Beaumont,,France,Unknown,Member of Parliament
Pierre Bonvoisin,,Belgium,Unknown,Banker; President of theBanque de la Societe Generale de Belgique(SGB)
Robert Boothy,,United Kingdom,Unknown,Member of Parliament
Max Brauer,,West Germany,Unknown,Former Mayor and President of the Land ofHamburg
